ticker,name,sector,sub_sector,city,founding
ADESE,ADESE Gayrimenkul Yatırım,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,Konya,
AGHOL,AG Anadolu Grubu Holding,Mali Kuruluş,Holding,İstanbul,
AKBNK,Akbank,Bankacılık,Bankacılık,İstanbul,
AKSA,AKSA Akrilik Kimya,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",Yalova,
AKSEN,AKSA Enerji Üretim,İmalat,Enerji,İstanbul,
ALGYO,Alarko Gayrimenkul Yatırım Ortaklığı,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,İstanbul,
ALARK,Alarko Holding,Mali Kuruluş,Holding,İstanbul,
ALKİM,ALKİM ALKALİ Kimya,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",İstanbul,
AEFES,Anadolu Efes Biracılık ve Malt,İmalat,"Gıda, İçecek ve Tütün",İstanbul,
ARCLK,Arçelik,İmalat,"Metal Eşya, Makine, Elektrikli Cihazlar ve Ulaşım Araçları",İstanbul,
ARDYZ,ARD Grup Bilişim Teknolojileri,Teknoloji / Bilişim,Teknoloji / Bilişim,Ankara,
ASELS,Aselsan,Savunma,Savunma,Ankara,
AYDEM,AYDEM Enerji,İmalat,Enerji,Denizli,
BASGZ,Başkent Doğalgaz Dağıtım Gayrimenkul Yatırım Ortaklığı,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,Ankara,
BERA,Bera Holding,Mali Kuruluş,Holding,Konya,
BIMAS,BİM Birleşik Mağazalar,Ticaret,Perakende Ticaret,İstanbul,
BIOEN,BİOTREND Çevre ve Enerji Yatırımları,Elektrik Gaz ve Su,Elektrik Gaz ve Su,İstanbul,
BRYAT,BORUSAN Yatırım ve Pazarlama,Mali Kuruluş,Yatırım Şirketi,İstanbul,
BRISA,Brisa Bridgestone Sabancı Lastik,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",İstanbul,
CCOLA,Coca-Cola İçecek,İmalat,"Gıda, İçecek ve Tütün",İstanbul,
CANTE,ÇAN2 Termik,İmalat,Elektrik Gaz ve Su,İstanbul,
CEMAS,ÇEMAŞ Döküm Sanayi,İmalat,Metal Sanayi,Kırşehir,
CIMSA,Çimsa Çimento,İmalat,Taş ve Toprağa Dayalı İmalat,İstanbul,
DOHOL,Doğan Şirketler Grubu Holding,Mali Kuruluş,Holding,İstanbul,
DOAS,Doğuş Otomotiv,Ticaret,Otel / Lokanta / Perakende Ticaret,İstanbul,
EGEEN,Ege Endüstri ve Ticaret,İmalat,Metal Eşya / Makine / Ulaşım Araçları,İzmir,
ECILC,EİS Eczacıbaşı İlaç,Mali Kuruluş,Holding,İstanbul,
EKGYO,Emlak Konut Gayrimenkul Yatırım Ortaklığı,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,İstanbul,
ENJSA,Enerjisa,İmalat / Dağıtım,"Elektrik, Gaz ve Su",İstanbul,
ENKAI,Enka İnşaat,İnşaat ve Bayındırlık,İnşaat ve Bayındırlık,İstanbul,
ERBOS,Erbosan Erciyas Boru,İmalat,Metal Sanayi,Kayseri,
EREGL,Ereğli Demir ve Çelik Fabrikaları,İmalat,Metal Sanayi,İstanbul,
ESEN,Esenboğa Elektrik,İmalat,Enerji,Ankara,
FROTO,Ford Otomotiv,İmalat,"Metal Eşya, Makine, Elektrikli Cihazlar ve Ulaşım Araçları",Istanbul,
GENIL,Gen İlaç,Ticaret,Perakende Ticaret,Ankara,
GESAN,Girişim Elektrik Sanayi,İnşaat ve Bayındırlık,İnşaat ve Bayındırlık,Ankara,
GLYHO,Global Yatırım,Mali Kuruluş,Yatırım Şirketi,İstanbul,
GOZDE,Gözde Girişim Sermayesi Yatırım Ortaklığı,Mali Kuruluş,Girişim Sermayesi Yatırım Ortaklığı,İstanbul,
GUBRF,Gübre Fabrikaları,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",İstanbul,
SAHOL,Hacı Ömer Sabancı Holding,Mali Kuruluş,Holding,İstanbul,
HEKTS,Hektaş Ticaret,İmalat,"Kimya, İlaç, Petrol, Lastik ve Plastik Ürünler",Kocaeli,
INDES,İndeks Bilgisayar,Teknoloji,Bilişim,İstanbul,
IPEKE,İpek Doğal Enerji,Madencilik ve Taş Ocakçılığı,Ham Petrol ve Doğal Gaz Çıkartılması,Ankara,
ISDMR,İskenderun Demir ve Çelik,İmalat,Metal Sanayi,Hatay,
ISFIN,İş Finansal Kiralama,Mali Kuruluş,Finansal Kiralama ve Faktoring,İstanbul,
ISGYO,İş Gayrimenkul Yatırım Ortaklığı,Mali Kuruluş,Gayrimenkul Yatırım Ortaklığı,İstanbul,
ISMEN,İş Yatırım Menkul Değerler,Mali Kuruluş,Aracı Kurum,İstanbul,
