ticker,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,address2,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,logo_url,zip
ADESE.IS,Consumer Defensive,29.0,"Adese Gayrimenkul Yatirim A.S. operates in the real estate investment sector. It engages in the operation and management of shopping malls and entertainment centers. The company was formerly known as Adese Alisveris Merkezleri Ticaret A.S. Adese Gayrimenkul Yatirim A.S. was founded in 1991 and is headquartered in Selçuklu, Turkey.",Selçuklu,90 332 221 40 00,Turkey,[],https://www.adese.com.tr,1.0,Musalla Baglar Mahallesi,90 332 221 42 35,Discount Stores,Floor: 33 No: 2/55 Kule Caddesi Selcuklu Tower Site,0.43428,5.08481,0.69456,-4682000.0,3.323,0.42453998,37687000.0,,none,45880000.0,52606752.0,,1.06,,5.051,0.01164,,,2.508,0.28886,,368943008.0,55802000.0,86781000.0,0.366,TRY,0.086,4.318,,IST,ADESE GAYRIMENKUL,Adese Gayrimenkul Yatirim A.S.,Europe/Istanbul,TRT,False,10800000,,EQUITY,ADESE.IS,,,finmb_49494193,dd702025-0aa6-3828-a8c5-c85624720308,tr_market,,7.775,,17.903,-0.16000003,,,,1008000000.0,,,,2.207,,,,1640908800.0,0.00035999998,433688000.0,0.45,,-0.13021445,0.48028997,0.07,1703980800.0,,1656547200.0,,,937440000.0,,674702016.0,4.0,,1479254400.0,1:1,,,,,12.312372,,,,,,,,0.0,,,1.05,1.05,0.7805,0.0,0.0,,1.07,,152063805.0,1.05,0.852,0.0,1.05,,152063805.0,,,,,,,1.04,TRY,2.3555555,61341826.0,,,,1068479936.0,,,64743856.0,1.04,1.07,0.0,61341826.0,1.46,,,0.62,1.06,False,,0.0,1.07,,1.06,https://logo.clearbit.com/adese.com.tr,
AGHOL.IS,Consumer Defensive,61630.0,"AG Anadolu Grubu Holding A.S., through its subsidiaries, engages in the beer, soft drinks, automotive, retailing, and other businesses in Turkey and internationally. The company produces and sells beer and malt, and carbonated and non-carbonated beverages, as well as passenger and commercial vehicles; imports, distributes, markets, and rents motor vehicles; and offers generators, and spares and component parts. It is also involved in the production of industrial engines; sale of tractors; production of writing instruments; distribution of other imported stationery products; arrangement of travelling and organization facilities; and provision of IT, internet, and e-commerce services. In addition, the company engages in the restaurant management; wholesale and retail sale of electricity; insurance agency business; and production, distribution, and transmission of electricity businesses. Further, it purchases, sells, rents, and manages real estate properties; leases intellectual property; fills and sells natural spring water; and offers tourism services. The company was formerly known as Yazicilar Holding A.S. and changed its name to AG Anadolu Grubu Holding A.S. in December 2017. AG Anadolu Grubu Holding A.S. was founded in 1950 and is headquartered in Istanbul, Turkey.",Istanbul,90 216 578 85 00,Turkey,[],https://www.anadolugrubu.com.tr,1.0,Fatih Sultan Mehmet Mahallesi,90 216 573 74 52,Beverages—Non-Alcoholic,Balkan Caddesi No. 58 Buyaka E Blok TepeUestUe Uemraniye,0.12812,0.0162,0.3015,18951464960.0,1.141,0.097679995,15190043648.0,37.2,buy,24319179000.0,7996976128.0,37.2,80.9,6.832,0.955,0.05688,1.0,37.2,83.722,0.11818,37.2,29124489216.0,48980869120.0,118561202176.0,119.591,TRY,486.835,0.628,2.0,IST,ANADOLU GRUBU HOLDING,AG Anadolu Grubu Holding A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,AGHOL.IS,,,finmb_6523430,,tr_market,,0.693,,5.405,2.3094435,,4.06,,243535008.0,,,,55.222,,,,1640908800.0,0.13649,1852718976.0,7.61,0.246371,-0.13021445,1.4649959,0.49717,1703980800.0,,1656547200.0,,,4907221.0,1.172222,82105606144.0,2.0,,1171238400.0,130:100,,1653436800.0,,6.833,0.16876444,,,,19.92611,,,,0.0,,,77.8,78.45,44.88235,0.0031619538,0.0324,,81.85,,1794416.0,77.8,65.5358,0.246,78.45,,1794416.0,,,0.25,1653436800.0,,,78.45,TRY,10.630749,1256088.0,,,,20008914944.0,,,2485346.0,78.45,81.0,0.0,1256088.0,82.45,,,21.78,80.9,False,0.0034999999,0.0,81.85,,80.9,https://logo.clearbit.com/anadolugrubu.com.tr,34771
AKBNK.IS,Financial Services,12716.0,"Akbank T.A.S., together with its subsidiaries, provides various banking products and services in Turkey and internationally. It operates through: Retail Banking; Commercial Banking, SME Banking, Corporate-Investment and Private Banking; and Treasury segments. The company's retail banking services comprise deposit accounts, retail loans, commercial installment loans, credit cards, insurance products, and asset management services, as well as bank cards, investment funds trading, automatic payment, foreign currency trading, safe deposit box rental, cheques, money transfer, investment banking, and telephone and internet banking. It also offers services to large, medium, and small size corporate and commercial customers that include Turkish Lira (TL) and foreign currency denominated working capital loans financing for investments, foreign trade financing, derivative instruments for hedging purposes of foreign currency and interest risk, letters of credit, foreign currency trading, corporate finance, and deposit and cash management services, as well as project finance loans; and timely and permanent solutions for corporate customers' working capital management, delivering cash management services based on customers' requests that include collection and payment services and liquidity and information management. In addition, the company engages in treasury activities consisting of TL and foreign currency spot and forward transactions, treasury and government bonds, Eurobonds, and private sector bond transactions, as well as derivative trading activities; and marketing and pricing activities related treasury products. Further, it provides financial leasing services, stock exchange brokerage services, and portfolio management, as well as offers payment services and issues electronic money. As of December 31, 2021, the company operated 710 branches. Akbank T.A.S. was founded in 1948 and is headquartered in Istanbul, Turkey.",Istanbul,90 212 385 55 55,Turkey,[],https://www.akbank.com,1.0,Sabanci Center,90 212 319 52 52,Banks—Regional,4.Levent,0.0,0.46153998,0.0,-251078967296.0,3.164,0.62791,,5.49,buy,34267024000.0,,12.02,15.74,5.225,,0.03838,12.0,11.82,,0.34285,15.84,119127433216.0,201492627456.0,63156109312.0,22.909,TRY,12.145,,2.3,IST,AKBANK,Akbank T.A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,AKBNK.IS,,,finmb_874083,,tr_market,,2.249,,,1.7125435,,5.85,,5200000000.0,,,,19.756,,,,1640908800.0,0.114580005,29149315072.0,5.61,0.233,-0.13021445,0.79671997,0.40750998,1703980800.0,,1656547200.0,,,2662400000.0,0.829059,142061191168.0,2.0,,1271376000.0,133:100,,1648598400.0,,5.223,1.2959633,,0.05,,2.6905982,,,,0.0,,,15.69,16.1,8.37765,0.0,0.0416,,16.23,,436517317.0,15.69,9.7306,0.0,16.1,,436517317.0,,,0.23,1648598400.0,,,15.26,TRY,2.8057039,126649454.0,,,,81848000512.0,,,198313359.0,15.26,15.75,0.0,126649454.0,16.23,,,5.07,15.74,False,0.0217,0.0,16.23,,15.74,https://logo.clearbit.com/akbank.com,34330
AKSA.IS,Consumer Cyclical,1338.0,"Aksa Akrilik Kimya Sanayii A.S., together with its subsidiaries, manufactures and sells textiles, chemicals, and other industrial products in Turkey and internationally. It operates through three segments: Fibers, Energy, and Other. The company offers textile fibers, outdoor fibers, acrylic filament yarns, modacrylic fibers, industrial fibers, and recycled fibers for knitting and hand knitting, carpet, home textile and upholstery, toy/hi-pile products, UV resistant, technical application, and protective garments, as well as acrylic fibers. It also provides raw and auxiliary materials, as well as intermediate substances; artificial, synthetic, and natural fibers, as well as carbon fibers, and filament and polymers; and equipment, machinery, and spare parts used in the production, processing, and storage activity. In addition, the company engages in marketing and trading activities; generation and sale of electricity; rental of real estate properties; and import and export of its products to domestic, foreign, and international branches. Aksa Akrilik Kimya Sanayii A.S. was founded in 1968 and is headquartered in Yalova, Turkey.",Yalova,90 226 353 25 45,Turkey,[],https://www.aksa.com,1.0,Merkez Mahallesi Yalova,90 226 353 33 07,Textile Manufacturing,Kocaeli Yolu Caddesi No: 34 Tasköprü Çiftlikköy,0.21127,0.13265,0.24528,2403567104.0,1.491,0.19905001,2864519936.0,,buy,1843907000.0,294618880.0,,56.65,0.48,1.041,0.21097,,,82.079,0.65853,,1246615040.0,2809347072.0,13558548480.0,3.854,TRY,41.882,0.566,2.0,IST,AKSA,Aksa Akrilik Kimya Sanayii A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,AKSA.IS,,,finmb_20853575,,tr_market,,1.499,,7.095,1.974519,,1.58,,323750016.0,,,,10.581,,,,1640908800.0,0.080290005,1798568960.0,5.56,1.85,-0.13021445,5.353936,0.60792,1703980800.0,,1656547200.0,,,128854244.0,1.010683,20323987456.0,2.0,,1581465600.0,175:100,,1650499200.0,,0.479,1.3526845,,,,35.85443,,,,0.0,,,56.45,56.85,45.0952,0.0,0.3327,,57.7,,3057330.0,56.45,57.831,0.0,56.85,,3057330.0,,,1.85,1650499200.0,,,56.55,TRY,10.188849,1627177.0,,,,18340438016.0,,,2521185.0,56.55,56.7,0.0,1627177.0,64.8,,8.08,18.81,56.65,False,0.0319,0.0,57.7,,56.65,https://logo.clearbit.com/aksa.com,
AKSEN.IS,Utilities,1030.0,"Aksa Enerji Üretim A.S., an independent power producer, produces and sells electricity in Turkey and Africa. The company produces energy from coal, fuel oil, biogas, natural gas, wind, and hydroelectricity. It operates 8 power plants with a total installed capacity of 1,966 MW. The company was founded in 1997 and is headquartered in Istanbul, Turkey. Aksa Enerji Üretim A.S. is a subsidiary of Kazanci Holding A.S.",Istanbul,90 216 681 00 00,Turkey,[],https://www.aksaenerji.com.tr,1.0,Rüzgarlibahçe Mahallesi,90 216 681 57 99,Utilities—Renewable,Özalp Çikmazi No: 10 Kavacik-Beykoz,0.16937,0.13182001,0.14538999,2036842496.0,3.838,0.13681,4690091520.0,18.54,buy,2078729539.0,-2721398016.0,33.1,29.4,,1.29,0.12412,3.0,28.71,50.189,0.39655998,34.5,799720448.0,7171295744.0,27691382784.0,0.652,TRY,11.324,1.199,2.0,IST,AKSA ENERJI,Aksa Enerji Üretim A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,AKSEN.IS,,,finmb_42676229,,tr_market,,1.557,,9.191,2.9089692,,1.77,,1226339968.0,,,,7.87,,,,1640908800.0,0.0229,3650291968.0,2.58,0.570805,-0.13021445,3.7357051,0.79415,1703980800.0,,1656547200.0,,,252441726.0,,43107282944.0,2.0,,1633564800.0,2:1,,1658275200.0,,3.576,1.3020077,,,,16.61017,,,,0.0,,,29.0,29.2,17.92575,0.0,0.0,,29.52,,14399043.0,29.0,28.3988,0.0,29.2,,14399043.0,,,0.57,1658275200.0,,,29.02,TRY,11.3953495,3356600.0,,,,36054392832.0,,,9346532.0,29.02,29.4,0.0,3356600.0,32.2,,,6.25,29.38,False,0.0198,0.0,29.52,,29.4,https://logo.clearbit.com/aksaenerji.com.tr,34805
ALGYO.IS,Real Estate,3.0,"Alarko Real Estate Investment Company ""ALGYO"" was founded in 1996. It is the first Real Estate Investment Company that went public in Turkey. Alarko REIC, an affiliate of Alarko Holding operating in the field of real estate development sector, provides its investors with a fixed income with the rental income it derives from the real properties in its portfolio, and also possesses valuable lands for the purpose of development. The company's goodwill constantly increased starting from the date of its foundation with its real properties gaining value and its successful cash management efforts",Istanbul,90 212 310 33 00,Turkey,[],https://www.alarkoyatirim.com.tr,1.0,Muallim Naci Cad. No: 69/1,,REIT—Diversified,Ortaköy Besiktas,1.9319701,8.75587,0.98168,499455872.0,1.741,1.93024,281920096.0,,none,124734532.0,146646224.0,,45.32,,3.232,0.06617,,,0.067,0.49133998,,33006740.0,2179730.0,145923824.0,0.536,TRY,2.052,2.782,,IST,ALARKO GMYO,Alarko Gayrimenkul Yatirim Ortakligi A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,ALGYO.IS,,,finmb_882978,,tr_market,,15.047,,7.788,1.0760233,,,,61538900.0,,,,49.725,,,,1640908800.0,0.00824,1277690496.0,20.13,1.65,-0.13021445,0.9114128,0.51197,1703980800.0,,1656547200.0,,,28434071.0,,2195652096.0,2.0,,1582588800.0,604:100,,1650844800.0,,0.686,19.11232,,,,,,,,0.0,,,44.98,45.74,33.8505,0.03668297,0.0387,,46.28,,2761286.0,44.98,35.4392,1.65,45.74,,2761286.0,,,1.65,1650844800.0,,,45.0,TRY,2.2513661,1498104.0,,,,2788942848.0,,,1842088.0,45.0,45.38,0.0,1498104.0,46.28,,3.33,20.3,45.34,False,0.0456,0.0,46.28,,45.32,https://logo.clearbit.com/alarkoyatirim.com.tr,
ALARK.IS,Industrials,5010.0,"Alarko Holding A.S., together with its subsidiaries, engages in the contracting, construction, land development, industry, trade, tourism, and energy businesses in Turkey and internationally. It designs, develops, and builds projects, such as airports, rail systems, roads, infrastructure systems, power plants, industrial facilities, business centers, hotels, hospitals, etc. The company also engages in the power generation, and electricity distribution and retail sale. In addition, it manufactures air handling units and roof top units under the CARRIER brand; condensing combi-boilers and wall-type/floor-mounted condensing boilers under the Alarko brand, as well as auxiliary equipment, such as boilers, expansion tanks, unit heaters, and plate exchangers; and submersible pumps and motors, circulation pumps, and booster pumps under the Alarko brand. Further, it operates hotels, sports centers, spa centers, and movie theaters; publishes Hillsider magazine; constructs, manages, and operates commercial and residential buildings; and designs and offers satellite towns. Additionally, the company markets industrial products and after sales services; and tools related to real estates. It also engages in supply of water and cleaning of lake projects; and subway construction, copper facility, and highway construction projects, as well as construction, montage, and installation works. Alarko Holding A.S. was founded in 1954 and is headquartered in Istanbul, Turkey.",Istanbul,90 212 310 33 00,Turkey,[],https://www.alarko.com.tr,1.0,Muallim Naci Cad. No:69,90 212 260 71 78,Conglomerates,Ortaköy,0.09611,1.07782,0.13752,-92834720.0,3.036,0.081379995,391886880.0,12.0,buy,30231172.0,-432126880.0,26.59,54.95,,1.144,0.025239998,2.0,26.59,14.372,0.86305,41.18,1770679168.0,1135550336.0,4077415680.0,4.071,TRY,4.636,0.806,2.0,IST,ALARKO HOLDING,Alarko Holding A.S.,Europe/Istanbul,TRST,False,10800000,,EQUITY,ALARK.IS,,,finmb_874931,,tr_market,,5.032,,52.36,5.08545,,2.8,,434527008.0,,,,8.485,,,,1640908800.0,0.02168,4394715136.0,10.0,0.23,-0.13021445,6.476135,0.6729,1703980800.0,,1656547200.0,,,130391250.0,,20519069696.0,2.0,,1536883200.0,194:100,,1651795200.0,,20.998,5.8559785,,,,19.625,,,,0.0,,,54.35,54.55,25.77315,0.0,0.0228,,55.7,,7677339.0,54.35,39.8266,0.0,54.55,,7677339.0,,,0.23,1651795200.0,,,54.2,TRY,5.495,3086161.0,,,,23877259264.0,,,7554030.0,54.2,55.0,0.0,3086161.0,55.7,,,8.15,54.95,False,0.005,0.0,55.7,,54.95,https://logo.clearbit.com/alarko.com.tr,34347
AEFES.IS,Consumer Defensive,18457.0,"Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi, together with its subsidiaries, engages in the production, bottling, distribution, and sale of beer, malt, and non-alcoholic beverages in Turkey and internationally. It operates in two segments, Beer Group and Soft Drinks. The company is also involved in the production, bottling, distribution, and sale of carbonated and still non-alcoholic beverages, fruit juice concentrates, purees and fresh fruit, and carbonated soft drinks under the Coca-Cola Company trademark; and filling of spring water beverages. In addition, it leases intellectual property and related products. The company was incorporated in 1966 and is based in Istanbul, Turkey.",Istanbul,90 216 586 80 00,Turkey,[],https://www.anadoluefes.com,1.0,Fatih Sultan Mehmet Mahallesi,90 216 850 35 55,Beverages—Brewers,"Balkan Caddesi No:58, Buyaka E Blok Tepeüstü Ümraniye",0.17531,0.02706,0.35307,12470353920.0,1.362,0.12536,10703526912.0,41.0,buy,14043855000.0,6134100480.0,47.05,42.56,2.435,1.037,0.04843,8.0,48.84,61.661,0.07836,61.0,21487278080.0,34695991296.0,61054132224.0,36.29,TRY,103.114,0.737,1.9,IST,ANADOLU EFES,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,Europe/Istanbul,TRST,False,10800000,,EQUITY,AEFES.IS,,,finmb_880275,,tr_market,,1.125,,6.416,0.9045454,,5.86,,592105024.0,,,,42.455,,,,1640908800.0,0.08311,1651934976.0,2.79,1.8545,-0.13021445,1.0024732,0.7175,1703980800.0,,1656547200.0,,,195110440.0,0.667094,68675104768.0,2.0,,1189987200.0,398:100,,1653004800.0,,2.435,0.41274834,,0.12,,7.262799,,,,0.0,,,42.28,42.36,29.8175,0.043874174,0.66470003,,42.92,,3367746.0,42.28,35.2032,1.855,42.36,,3367746.0,,,1.85,1653004800.0,,,42.36,TRY,15.254481,1138086.0,,,,25199990784.0,,,3453871.0,42.36,42.58,0.0,1138086.0,42.92,,4.4,19.97,42.54,False,0.045100003,0.0,42.92,,42.56,https://logo.clearbit.com/anadoluefes.com,34771
ARCLK.IS,Consumer Cyclical,41969.0,"Arçelik Anonim Sirketi, together with its subsidiaries, produces, markets, sells, services, imports, and exports consumer durable goods and electronics in Turkey and internationally. It operates through White Goods, Consumer Electronics, and Other segments. It offers top and front door washing machines, horizontal and vertical deep freezers, split air conditioners, microwave ovens, water dispensers, cooking appliances, washing machines, dishwashers, coolers, gas and/or electric cookers, refrigerators, coffee machines, laundry and washer-dryers, hoods, and built-in cooking products. The company also provides televisions, computers, cash registers, and other electronic devices. It offers its products under the Arçelik, Beko, Grundig, Defy, Arctic, Dawlance, Elektrabregenz, Blomberg, VoltasBeko, Leisure, Altus, and Flavel brand names. The company was incorporated in 1955 and is headquartered in Istanbul, Turkey.",Istanbul,90 212 314 34 34,Turkey,[],,1.0,Karaagaç Caddesi No: 2-6,90 212 314 34 63,"Furnishings, Fixtures & Appliances",Sütlüce Beyoglu,0.07795,0.02833,0.29522,-2553446912.0,1.223,0.060110003,7883262976.0,35.0,hold,20478345000.0,-12998650880.0,71.0,74.25,-0.462,1.158,0.04276,17.0,66.76,181.499,0.15921,103.0,15054922752.0,44242771968.0,101135237120.0,24.607,TRY,158.706,0.706,2.8,IST,ARCELIK,Arçelik Anonim Sirketi,Europe/Istanbul,TRST,False,10800000,,EQUITY,ARCLK.IS,,,finmb_2482233,,tr_market,,0.751,,9.641,1.246264,,10.09,,619126016.0,,,,36.478,,,,1640908800.0,0.15283,2865487104.0,4.5,2.219827,-0.13021445,2.0354733,0.63308,1703980800.0,,1656547200.0,,,186053619.0,0.661111,76000780288.0,2.0,,1241395200.0,1:1,,1648425600.0,,-0.513,0.45454097,,0.28,,7.358771,,,,0.0,,,72.7,73.5,62.3252,0.030536452,0.493,,74.95,,4909914.0,72.7,69.33,2.22,73.5,,4909914.0,,,2.22,1648425600.0,,,73.05,TRY,16.5,3708346.0,,,,45970108416.0,,,4491326.0,73.05,74.3,0.0,3708346.0,84.4,,,31.44,74.2,False,0.030299999,0.0,74.95,,74.25,,34445
ARDYZ.IS,Technology,80.0,"Ard Grup Bilisim Teknolojileri Anonim Sirketi engages in the software, information technology, communication, and telecommunication businesses in Turkey. The company offers enterprise software solutions, including corporate information management system, corporate identity and access management systems, enterprise equipment tracking, enterprise equipment tracking systems, e-government projects, RFID-based software and integration solutions, vehicle tracking and security control systems, logistic warehouse and container tracking systems, textile tracking and process management solutions, and social media tracking systems, as well as staff, visitor, and person tracking systems. It also provides national law software solutions; cloud solutions; cyber security software and systems; health system solutions, such as sterilization, patient, baby, hospital textile, hospital fixtures, medical equipment, and hospital warehouse tracking systems; and SAP mobile and CRM, business one, and business analytics solutions. In addition, the company provides cyber security solutions; information system solutions, which include server and data storage, information infrastructure and data security, virtualization disaster recovery center, and gateway security solutions, as well as system integration projects, high security data bearing equipment, traceability and process management applications, and components supply of enterprise information systems. Further, it offers command center and security solutions; and smart technology solutions comprising smart highway, bridge, tunnel, secure campus, factory and manufacture, conference hall and meeting room, classroom, distance education, and city and traffic solutions. The company was incorporated in 2011 and is headquartered in Ankara, Turkey. Ard Grup Bilisim Teknolojileri Anonim Sirketi is a subsidiary of Ard Grup Holding Anonim Sirketi.",Ankara,90 312 299 25 95,Turkey,[],https://www.ardinformatics.com.tr,1.0,"Koç Towers, Block A",90 312 299 25 96,Software—Infrastructure,"20-21 Floors No:2, Sögütözü Street No:60 Çankaya",0.55832,0.54755,0.78212,119400280.0,0.096,0.55216,157076496.0,,none,215628152.0,-29676912.0,,6.4,0.153,11.186,0.34223,,,1.912,0.57334,,42925072.0,6606591.0,281338912.0,0.253,TRY,1.655,10.091,,IST,ARD BILISIM TEKNOLOJILERI,Ard Grup Bilisim Teknolojileri Anonim Sirketi,Europe/Istanbul,TRST,False,10800000,,EQUITY,ARDYZ.IS,,,finmb_652807492,,tr_market,,4.01,,7.182,-0.10035831,,,,170000000.0,,,,2.033,,,,1640908800.0,0.00021,154048448.0,3.48,0.001999,-0.13021445,3.1480572,0.36371,1703980800.0,,1648684800.0,,,127277300.0,1.98428,1128181504.0,2.0,,1638316800.0,712:100,,1640822400.0,,0.153,3.8672218,,,,,,,,0.0,,,6.3,6.43,6.201743,0.0022222223,0.00059999997,,6.5,,11096689.0,6.3,6.0166,0.014,6.43,,11096689.0,,,0.0,1640822400.0,,,6.37,TRY,1.8390805,5024771.0,,,,1088000000.0,,,9852733.0,6.37,6.4,,5024771.0,9.43,,,4.55,6.39,False,0.00029999999,,6.5,,6.4,https://logo.clearbit.com/ardinformatics.com.tr,
